Id,Species,Image_url
1092,Apis mellifera,https://beespotter.org/beedata/bees/1092-1.jpg
132,Bombus impatiens,https://beespotter.org/beedata/bees/132-1.jpg
327,Bombus griseocollis,https://beespotter.org/beedata/bees/327-1.jpg
403,Bombus griseocollis,https://beespotter.org/beedata/bees/403-1.jpg
213,Bombus impatiens,https://beespotter.org/beedata/bees/213-1.jpg
2744,Bombus bimaculatus,https://beespotter.org/beedata/bees/2744-3.jpg
2744,Bombus bimaculatus,https://beespotter.org/beedata/bees/2744-2.jpg
2744,Bombus bimaculatus,https://beespotter.org/beedata/bees/2744-1.jpg
1203,Bombus bimaculatus,https://beespotter.org/beedata/bees/1203-1.jpg
218,Bombus auricomus,https://beespotter.org/beedata/bees/218-1.jpg
2745,Bombus griseocollis,https://beespotter.org/beedata/bees/2745-2.jpg
2745,Bombus griseocollis,https://beespotter.org/beedata/bees/2745-1.jpg
1315,Apis mellifera,https://beespotter.org/beedata/bees/1315-1.jpg
404,Bombus impatiens,https://beespotter.org/beedata/bees/404-1.jpg
139,Apis mellifera,https://beespotter.org/beedata/bees/139-1.jpg
214,Bombus impatiens,https://beespotter.org/beedata/bees/214-1.jpg
215,Bombus bimaculatus,https://beespotter.org/beedata/bees/215-1.jpg
1314,Bombus bimaculatus,https://beespotter.org/beedata/bees/1314-3.jpg
1314,Bombus bimaculatus,https://beespotter.org/beedata/bees/1314-2.jpg
1314,Bombus bimaculatus,https://beespotter.org/beedata/bees/1314-1.jpg
1316,Apis mellifera,https://beespotter.org/beedata/bees/1316-1.jpg
219,Bombus pensylvanicus,https://beespotter.org/beedata/bees/219-1.jpg
216,Bombus fervidus,https://beespotter.org/beedata/bees/216-3.jpg
216,Bombus fervidus,https://beespotter.org/beedata/bees/216-2.jpg
216,Bombus fervidus,https://beespotter.org/beedata/bees/216-1.jpg
160,Bombus impatiens,https://beespotter.org/beedata/bees/160-2.jpg
160,Bombus impatiens,https://beespotter.org/beedata/bees/160-1.jpg
1093,Apis mellifera,https://beespotter.org/beedata/bees/1093-1.jpg
144,Bombus griseocollis,https://beespotter.org/beedata/bees/144-3.jpg
144,Bombus griseocollis,https://beespotter.org/beedata/bees/144-2.jpg
144,Bombus griseocollis,https://beespotter.org/beedata/bees/144-1.jpg
146,Apis mellifera,https://beespotter.org/beedata/bees/146-5.jpg
146,Apis mellifera,https://beespotter.org/beedata/bees/146-4.jpg
146,Apis mellifera,https://beespotter.org/beedata/bees/146-3.jpg
146,Apis mellifera,https://beespotter.org/beedata/bees/146-2.jpg
146,Apis mellifera,https://beespotter.org/beedata/bees/146-1.jpg
1624,Bombus bimaculatus,https://beespotter.org/beedata/bees/1624-5.jpg
1624,Bombus bimaculatus,https://beespotter.org/beedata/bees/1624-4.jpg
1624,Bombus bimaculatus,https://beespotter.org/beedata/bees/1624-3.jpg
